,Unnamed: 0,full_text,tweet_english
0,0,fufufafa aneh malam minggu purwokerto kaskus,fufufafa weird Sunday night purwokerto kaskus
1,1,dukung 02 akun fufufafa memang cocok banget sama gibran pas ku lamin,support 02 fufufafa account is really suitable with gibran pas ku lamin
2,2,wasit fufufafa purwokerto kaskus malam minggu,referee fufufafa purwokerto kaskus Sunday night
3,3,fufufafa bukan fafafufu,fufufafa is not fafafufu
4,4,fufufafa partai ubah indonesia malam minggu purwokerto,fufufafa party change indonesia Sunday night purwokerto
5,5,kalau pernah ngaskus tau jelas apalagi main subforum sama 1 mana tau akun raka gnarly bisa log in lupa password 2 kalau cuma klaim akun asli muncul fufufafa habis 3 buat apa ngeklaim raka gnarly,"if you ever ask, you know clearly, let alone play subforum with 1 where you know the raka gnarly account, you can log in, forget the password 2 if only the original account claim appears, fufufafa ends 3 for what to claim, raka gnarly"
6,6,fufufafa purwokerto wasit kaskus sanggup,fufufafa purwokerto referee kaskus able
7,7,moga besok mayor teddy sigap lindung pak praroro dr fufufafa,hopefully tomorrow the major teddy will be ready to protect Mr. Praroro Dr. Fufufafa
8,8,malam minggu fufufafa purwokerto malam minggu,weeknights fufufafa purwokerto weeknights
9,9,gak terdebunk jg kalau fufufafa bukan gibran jadi it is what it is,not debunked too if fufufafa is not gibran so it is what it is
10,10,malam minggu fufufafa purwokerto malam minggu,weeknights fufufafa purwokerto weeknights
11,11,perintah komitmen selenggara pilkada 2024 sesuai konstitusi kait ada putus mahkamah konstitusi mahkamah konstitusi kena laksana pilkada serentak 2024 kaka boss jepang purwokerto fufufafa,"order of commitment to hold elections in 2024 in accordance with the constitution, there is a break in the constitutional court, the constitutional court shall be held as simultaneous elections in 2024 kaka boss japan purwokerto fufufafa"
12,12,kata2 bijag hari makin tua makin sampah,the word sesag days getting older the more garbage
13,13,pindah ikn bukan dar pindah ibu kota perintah jadi bagi upaya besar indonesia laku transformasi ekonomi indonesia perata bangun kaka boss jepang purwokerto fufufafa,move ikn instead of moving the capital city order so for the great effort of indonesia practice of economic transformation of indonesia perata Bangun kaka boss japan purwokerto fufufafa
14,14,fufufafa ghost account gibran rkb nyata nyata,fufufafa ghost account gibran rkb real real
15,15,tatap mata kosong mulut banyak bicara orang tlol mcam fufufafa,stare into empty eyes mouth talk a lot of people tlol mcam fufufafa
