"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1830031366043607136","Sat Aug 31 23:54:12 +0000 2024","0","Klo prbw diundang podcast pandji cb tanyain beliau tau fufufafa ngga","1830031366043607136","","","in","Indonesia","0","0","0","https://x.com/everynay6/status/1830031366043607136","981837958876573697","everynay6"
"1829898579793637581","Sat Aug 31 23:53:25 +0000 2024","3","@liaasister Melas sama presiden terpilih untuk menitipkan si @Fufufafa supaya jangan di apa apain atas segala dosa yang di perbuat dan dosa dosa yang diperbuat oleh orang tuanya","1830031167275614606","","liaasister","in","","0","0","1","https://x.com/AmirKha54239293/status/1830031167275614606","1352841977654431744","AmirKha54239293"
"1829893735053758602","Sat Aug 31 23:53:02 +0000 2024","0","@detikcom Pak @prabowo anda dapet salam dan nilai bagus dari fufufafa","1830031073381925017","","detikcom","in","","0","0","0","https://x.com/surya_izrul/status/1830031073381925017","1637939601238282241","surya_izrul"
"1829742956829688306","Sat Aug 31 23:52:53 +0000 2024","1","@AndrewsTjan Jadi Hoax bukan kalau fufufafa itu gibran cuy? gak usah muter² jawab dl yang ini https://t.co/2zMmPFJh6G","1830031035289256100","https://pbs.twimg.com/media/GWWThzYWgAAzJFG.jpg","AndrewsTjan","in","ÜT: -6.196533,106.725887","0","0","1","https://x.com/daindra/status/1830031035289256100","82622135","daindra"
"1829308092565340526","Sat Aug 31 23:50:43 +0000 2024","0","@xdkailash @timpenguinnas @ARSIPAJA @prabowo Nilai 11/10 cuma nyerang performa tapi bacotan fufufafa ini menyerang personal ","1830030489325093295","","xdkailash","in","","0","0","0","https://x.com/ZjdkdjA/status/1830030489325093295","1345341797699002370","ZjdkdjA"
"1829499021217436023","Sat Aug 31 23:50:31 +0000 2024","0","@Jayabay19479190 Kasian mending mundur aja lo...","1830030436984373575","","Jayabay19479190","in","","0","0","0","https://x.com/TPikiran52318/status/1830030436984373575","1827233885857722368","TPikiran52318"
"1830030295133012295","Sat Aug 31 23:49:57 +0000 2024","1","Berarti benar fufufafa milik Gibran.. ","1830030295133012295","","","in","","0","1","0","https://x.com/CVNKJL/status/1830030295133012295","1303591300290080768","CVNKJL"
"1829867240239575221","Sat Aug 31 23:49:43 +0000 2024","2","@fortisfortuna_9 @kafiradikalis @prabowo lu fufufafa ya?","1830030237884932550","","fortisfortuna_9","in","","0","0","1","https://x.com/umbisingkong/status/1830030237884932550","1770803532230258688","umbisingkong"
"1830029915967906188","Sat Aug 31 23:48:26 +0000 2024","0","Malam Minggu Kaka Boss Fufufafa EH KOCAK Pertalite PAHAM LU #MimpiIndah #RIIZINGDAYinJakarta https://t.co/9jZCZAgLhU","1830029915967906188","https://pbs.twimg.com/media/GWWSgQGbQAMH4xL.jpg","","in","","0","0","0","https://x.com/MHTGLLL125/status/1830029915967906188","1820569524577714176","MHTGLLL125"
"1829431726701228452","Sat Aug 31 23:47:30 +0000 2024","2","@Didikjzie @asboediono_id @Uki23 @prabowo @Gerindra Blom lagi si #fufufafa","1830029677601439987","","Didikjzie","in","","0","0","0","https://x.com/Andi_Rubby/status/1830029677601439987","1604113772963979265","Andi_Rubby"
"1829874466798911817","Sat Aug 31 23:46:33 +0000 2024","82","@liaasister Fufufafa itu sejenis anaknya tokek ya.. Berarti bapaknya sejenis biawak","1830029441566982386","","liaasister","in","","1","6","3","https://x.com/AmirKha54239293/status/1830029441566982386","1352841977654431744","AmirKha54239293"
"1235163582414782464","Sat Aug 31 23:45:36 +0000 2024","0","@bintangemon Mon..fufufafa dong mon...","1830029201724096556","","bintangemon","in","","0","0","0","https://x.com/JeDhani38043/status/1830029201724096556","1689406571661692928","JeDhani38043"
"1829928776995914131","Sat Aug 31 23:45:07 +0000 2024","2","@GeiszChalifah Kek nya bagus ini bikin tagar #fufufafa","1830029078688313500","","GeiszChalifah","in","","0","0","0","https://x.com/Andi_Rubby/status/1830029078688313500","1604113772963979265","Andi_Rubby"
"1830029074875773128","Sat Aug 31 23:45:06 +0000 2024","1","Anak Sekecil Itu Berkelahi Dengan Jejak Digital Fufufafa","1830029074875773128","","","in","","0","0","0","https://x.com/EsTeh__28/status/1830029074875773128","1483011583152640000","EsTeh__28"
"1830028994122764650","Sat Aug 31 23:44:47 +0000 2024","48","Ada kesamaan antara si Chili pari milik si Raka Gnarly ini dgn akun Kaskus nya Fufufafa milik ya @rkgbrn . Sama 02 menggunakan diksi: Panasbung. https://t.co/knRelhOcUl","1830028994122764650","https://pbs.twimg.com/amplify_video_thumb/1830028768012091392/img/hdY-cOzPpV73b9We.jpg","","in","","2","2","15","https://x.com/CVNKJL/status/1830028994122764650","1303591300290080768","CVNKJL"
